Date,Open,High,Low,Close
2023-02-09,1875.24,1890.16,1859,1861.7
2023-02-10,1862.93,1872,1852.86,1864.2
2023-02-13,1864.7,1866.46,1850.56,1853.45
2023-02-14,1853.82,1869.95,1843.63,1854.46
2023-02-15,1854.08,1860.01,1830.67,1835.91
2023-02-16,1836.44,1845.34,1827.67,1836.5
2023-02-17,1836.51,1843.69,1818.98,1841.93
2023-02-20,1841.01,1847.58,1837.36,1841.295
2023-02-21,1841.9,1843.91,1830.29,1835.01
2023-02-22,1834.88,1845.98,1823.67,1825.26
2023-02-23,1826.05,1833.7,1818.02,1822.37
2023-02-24,1822.69,1827.87,1809,1810.98
2023-02-27,1811.13,1820.14,1806.86,1817.31
2023-02-28,1817.24,1831.21,1805.1,1826.8
2023-03-01,1826.9,1844.31,1823.12,1836.705
2023-03-02,1837.31,1838.84,1830.08,1835.75
2023-03-03,1836.21,1856.33,1835.75,1855.24
2023-03-06,1854.95,1858.31,1845.24,1846.76
2023-03-07,1846.465,1851.64,1812.85,1813.23
2023-03-08,1814.27,1824.29,1809.6,1813.82
2023-03-09,1814.29,1835.41,1812.05,1830.86
2023-03-10,1831.54,1870.01,1827.81,1869.9
2023-03-13,1884.295,1914.66,1871.6,1910.27
2023-03-14,1910.19,1914.18,1895.5,1904.27
2023-03-15,1904.32,1937.35,1885.78,1920.35
2023-03-16,1920.46,1933.37,1907.54,1920.02
2023-03-17,1920.15,1989.33,1918.54,1989.33
2023-03-20,1977.45,2009.6,1965.94,1978.36
2023-03-21,1978.36,1985.15,1935.51,1941.18
2023-03-22,1941.32,1978.8,1934.45,1965.71
2023-03-23,1965.665,2003.36,1965.665,1992.03
2023-03-24,1991.95,2003.01,1975.225,1977.78
2023-03-27,1977.78,1980.75,1944.35,1956.52
2023-03-28,1956.69,1975.31,1949.41,1973.7
2023-03-29,1973.6,1974.48,1958.76,1964.52
2023-03-30,1963.73,1984.29,1955.63,1980.31
2023-03-31,1980.55,1987.06,1966.98,1970.8
2023-04-03,1969.17,1990.52,1949.94,1984.565
2023-04-04,1984.32,2025.02,1977.09,2020.665
2023-04-05,2021.06,2032.02,2010.48,2020.84
2023-04-06,2020.97,2021.46,2001.11,2007.465
